judul-abstrak,kategori,lang,,,,,
pengolahan citra berbasis deteksi tepi prewitt gambar gigi manusia gambar gigi salah jenis citra dunia kesehatan mengidentifikasi penyakit kerusakan gigi permasalahan gambar berkualitas perbaikan citra mengatasi permasalahan tersebutoperasi pengolahan citra operasi mentransformasikan citra citra berdasarkan tujuan transformasi operasi pengolahan citra dikategorikan peningkatan kualitas citra image encachement pemulihan citra image restoration proses image enhancement kulitas citra deraunoise diperbaiki mudah diintrepertasikan manusia mesin salah contoh noise citra kabur blur algoritma prewitt konversi citra true color grayscale prewitt prewitt gradien magnitudo perhitungan mse psnr perhitungan mse psnr simpulkan algoritma prewitt menghasilkan mse psnr berbeda beda dimana tingkat mse psnr mengukur kualitas citra,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
identifikasi kualitas beras citra digital beras makanan pokok konsumsi masyarakat indonesia harga beras pasaran melonjak beredar beras memiliki kualitas standar kualitas mutu gudang beras mendistribusikan beras pasaran standar pengujian kualitas bulog tahap uji laboratorium uji visual pengujian visual manual kesalahan terbatasnya penglihatan manusia subjektivitas penguji sistem pengujian visual citra digital solusi efektif permasalahan proses pengujian nilai putih nilai bersih nilai utuh beras diakuisisi pengolahan citra digital proses akuisisi nilai bersih putih menganalisis nilai hsv hue saturation value nilai utuh menganalisis luas region area objek training data decision tree model id iterative dichotomiser tree data diakuisisi diklasifikasi kelas buruk menggunankan aturan decision tree dihasilkan proses training hasil pengujian metode kfold cross validation didapatkan akurasi,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
pengolahan citra digital transformasi wavelet doubechis citra dimensi spatial berisi informasi warna bergantung transformasi citra proses perubahan bentuk citra informasi fiture tersedia salah satunya transformasi wavelet wavelet fungsi matematis mengelompokkan energi citra terkosentrasi sekelompok koefisien kelompok koefisien mengandung energi dihilangkan penelitian bertujuan meneliti tingkat keakuratan informasi hasil transformasi citra jenis wavelet daubechies hasil pengujian transformasi citra wavelet daubechies level dekomposisi citra dihasilkan akurat,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
deteksi penyakit kepala permanen sketsa figur manusia pengolahan citra digital sketsa figur manusia potret psikologi kepribadian psikologi klinis psikologi klinis sketsa figur manusia mendeteksi gangguan kesehatan salah satunya penyakit kepala permanen,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
perbandingan ekstraksi ciri data mammogram identifikasi mikrokalsifikasi salah mendeteksi tidaknya kanker payudara mammografi penelitian pengenalan pola klasifikasi massa jinak ganas data mammogram data mammogram memiliki noise struktur patologis teratur pengolahan citra tahapan pengolahan citra preprocessing segmentasi ekstraksi ciri tahap preprocessing perbaikan kualitas citra operasi clahe contrast limited adaptive histogram equalization tahap segmentasi metode otsu tahap ekstraksi ciri metode diperbandingkan discreate wavelet transformation dwt gray level cooccurance matrix glcm gabor wavelet gw pengolahan citra tahap pengenalan pola klasifikasi metode jaringan syaraf tiruan jstlavenberg marquard lm uji coba klasifikasi jst hasil terbaik testing data training diperoleh data mammogram ekstraksi ciri gabor wavelet testing data testing hasil stabil diversifikasi data ukuran struktur patologis mammary,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
implementasi jaringan syaraf tiruan backpropagation sistem pengenalan citra daging babi citra daging sapi jaringan syaraf tiruan jst salah teknik klasifikasi handal kemampuannya memprediksi mengenali citrajst belajar data dilatihkan kepadanyaoleh penelitian membahas sistem pengenalan citra daging babi upaya mengenali citra daging babidan citra daging sapipenelitian memanfaatkan sensitivitas jst backpropagation pengolahan citra digital principal component analysispca pengekstraksi ciri citrahasil pengujian variasi neuron hidden layerdan learning ratedalam arsitektur jst arsitektur jaringan optimal hasil pengujian diperoleh recognition rate parameter arsitektur jaringan learning rate neuron hidden layer target eror epoh,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
desain simulasi arithmetic logic unit vhdl processor element risc arsitektur paralel pengolahan citra lapcam konsep arsitektur paralel pengolahan citra lapcam linear array of processor with content addressable memory dikembangkan lapcam komponen utama processor element pe memori mam jaringan interkoneksi oac arsitektur lapcam feature optimal processor element pe kecepatan eksekusi lapcam jenis memori jaringan interkoneksi mam multimode access memory oac orthogonal addressable crossbar element unik menjadikan lapcam arsitektur paralel optimal permasalahan pengolahan citra tulisan dikupas rinci disain arithmetic logic unit alu terpenting processor element pe vhsic hardware description language vhdl simulasi software maxplus ii altera hasil simulasi keluaran wrc wrz aktif instruksiinstruksi add sub,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
pengembangan perangkat lunak aplikasi koreksi lembar berbasis pengolahan citra smk nu hasyim asyari tarub smkn adiwerna penelitian tugas skripsi bertujuan mengembangkan kelayakan perangkat lunak aplikasi program keahlian teknik kendaraan ringan smk nu hasyim asyari tarub smkn adiwerna kabupaten tegal metode penelitian metode penelitian pengembangan addie dikemukakan william diana analysis design development implementation evaluation langkah development difokuskan pengembangan perangkat lunak aplikasi koreksi lembar berbasis pengolahan citra teknik grayscale tresholding cropping didasarkan kaidah rekayasa perangkat lunak the linear sequential model analysis design code test langkah implementation hasil pengembangan produk diimplementasikan melibatkan responden guru program keahlian teknik kendaraan ringan smk nu hasyim asyari tarub smkn adiwerna kabupaten tegal hasil penilaian kelayakan aplikasi ditinjau aspek correctness rerata skor kategori aspek integrity rerata skor kategori aspek reliability rerata skor kategori aspek usability rerata skor kategori total penilaian aspek skor rerata kategori perangkat lunak aplikasi layak smk nu hasyim asyari tarub smkn adiwerna,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
analisis enkripsi citra digital algoritma logistic map algoritma kompresi lampelzivwelch lzw penggunaan data file citra luas diberbagai bidang pengamanan file citra akses orangorang berhak teknik mengamankan data informasi dikembangkan salah satunya teknik kriptografi segi keamanan diperhatikan file citra ukuran file dominan teknik kriptografi teknik kompresi didalam pengolahan citra algoritma logistic map algoritma berbasis chaos sensitivitas diandalkan didalam mengenkripsi citra lempel ziv welch algoritma kompresi bersifat loseless mengkompresi citra kehilangan unsur pixel didalamnya citra hasil kompresi identik citra aslinya citra enkripsi teknik kompresi algoritma lempel ziv welch hasil kompresi dihasilkan bentuk gambar bentuk file ekstensi mat perbedaan format file citra file citra membantu menghindari perhatian kriptanalisis,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
penerapan laptopbased robot pramusaji restoran penelitian bertujuan menghasilkan purwarupa robot pramusaji restoran metode pengolahan citra robot berbasis visual menggantikan penggunaan sensor infra merah penggunaan kamera mengikuti alur garis pengolahan citra bersifat kompleks pemrosesan citra laptop laptopbased robot perangkat lunak matlab terinstal laptop memproses citra berdasarkan hasil pememrosesan matlab mikrokontroler pengontrol navigasi robot robot didesain mengenali meja pelanggan sesuai input operator metode penelitian robot visi penentuan nilai centroid lintasan tertangkap kamera mekanika robot didesain pipa pvc memiliki keuntungan kemudahan merekonstruksi memiliki bobot ringan berdasarkan hasil percobaan diperoleh hasil robot mengikuti garis mengenali meja dituju pergerakan robot diperbaiki kecepatan pergerakan navigasi robot,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
perancangan model pengukuran jarak computeraidedpada kontrol kualitas ultrasonografi penelitian bertujuan uji kualitas usg komputasi penghitungan jarak citra usg analisis pengukuran jarak perancangan implementasi penelelitian metode pengolahan citra digital komputasi analisis pengukuran nilai citra variasi attenuasi tgc depth variasi depth kedalaman ratarata jarak real phantom usg cm ratarata nilai akurasi jarak vertikal diperoleh citra cm nilai kesalahan akurasi jarak vertikal cm mm ratarata nilai akurasi jarak horizontal diperoleh citra mm jarak variasi atenuasi ratarata akurasi jarak vertikal diperoleh citra cm nilai kesalahan jarak vertikal cm mm nilai ratarata jarak horizontal diperoleh cm nilai kesalahan jarak horizontal cm mm nilai akurasi jarak vertikal diperoleh citra cm nilai kesalahan jarak vertikal cm mm jarak hasil komponen uji usg diuji memenuhi kualifikasi kriteria the american association of physicists in medicine aapm,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
aplikasi pengolahan citra digital pendeteksi lembar komputer algoritma sobel studi smp negeri kota bengkulu lembar komputer ljk lembar ujian tertulis pemeriksaan ljk alat scanner khusus harga scanner mahal penulis membangun aplikasi pengolahan citra digital mendeteksi lembar komputer algoritma sobel metode sobel pengembangan metode robert filter hpf high pass filter angka nol penyangga kelebihan metode sobel kemampuan mengurangi noise perhitungan deteksi tepi penulis mengubah data citra ljk bentuk deteksi tepi sobel mempermudah mendeteksi ljk hasil deteksi ljk pencocokkan data kunci memperoleh skor nilai laporan nilai siswa ditampilkan otomatis fastreport aplikasi dibangun bahasa pemrograman delphidan metode pengembangan sistem aplikasi metodewaterfallsedangkan metode perancangan sistem penulis menggunakanunified modeling language uml hasil penelitian terciptanya aplikasi pendeteksi ljk dapatdigunakanmelakukan pengoreksian ljk,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
sistem parkir berbasis rfid pengenalan citra pelat nomor kendaraan pencatatan pelat nomor kendaraan manual sistem parkir menimbulkan antrian penelitian mengembangkan sistem parkir otomatis berbasis rfid pengolahan citra pelat nomor kendaraan autentikasi kamera pengambil gambar pelat nomor arduino uno kontroler pembaca rfid pemberi umpan pembuka gerbang sistem membandingkan karakter citra rfid database menentukan izin penggunaan kendaraan pengolahan citra metode analisis kontur memiliki akurasi jarak cm kecepatan baca milidetik sistem otomatis membuka menutup gerbang berdasarkan kecocokan kartu rfid pelat kendaraan,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
penerapan metode jaringan saraf tiruan deteksi kelainan lemak darah citra hasil pemeriksaan darah lengkap berdasarkan penelitian epidemiologik dinyatakan zat lemak darah faktor risiko utama timbulnya atherosklerosis mengarah penyakit jantung koroner pasien kelainan lemak darah sel darah merah mengalami deformabilitas bentuknya pipih sel darah merah normal berbentuk bulat penelitian berjudul penerapan metode jaringan saraf tiruan deteksi kelainan lemak darah citra hasil pemeriksaan darah lengkap membantu mempermudah pemeriksaan laboratorium penelitian diharap deteksi mendukung diagnosis ahli penelitian tahap tahap pengolahan citra digital fitur area perimeter eccentricity ketiga fitur masukan program jaringan saraf tiruan backpropagation tahap tahap pendeteksian kelainan lemak darah fitur pengolahan citra akurasi deteksi kelainan lemak darah jst backpropagation,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
pendugaan konsentrasi klorofila citra satelit landsat perairan kota jayapura penelitian bertujuan menduga menganalisis konsentrasi klorofila citra datelit landsat perairan kota jayapura provinsi papua mengkaji tingkat akurasinya nilai klorofila hasil pengujian laboratorium penelitian menghasilkan algoritma pendugaan konsentrasi klorofila citra satelit landsat perairan kota jayapura bentuk persamaan polynomial orde kombinasi rasio band tingkat akurasi konsentrasi klorofila perairan kota jayapura citra satelit landsat berkisar mgm dimana perairan pesisir cenderung memiliki konsentrasi klorofila dibandingkan perairan lepas pantai hasil uji akurasi konsentrasi klorofila citra satelit akurat rmse hasil ujit konsentrasi klorofila hasil pengolahan citra satelit hasil analisis laboratorium relatif nilai signifikan,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
identifikasi penyakit anemia sel sabit teknik pengolahan citra algoritma knearest neighbor knn knn anemia sel sabit sickle cell anemia penyakit kekurangan sel darah merah normal disebabkan kelainan genetik tubuh manusia dimana selsel darah merah berbentuk sabit penelitian berjudul identifikasi anemia sel sabit teknik pengolahan citra algoritma knn mencoba analisis otomatis berdasarkan citra sel darah masukan bedakan sel sehat sel sabit penelitian tahapan tahapan pengolahan citra grayscle thresholding resize image masukan tahapan tahapan deteksi anemia sel sabit mengidentifikasi anemia sel sabit algoritma knearest neighborproses identifikasi tahapan pengolahan citra grayscle thresholding pengukuran sel darah data numberik sel masukan knearest neighbor dibedakan sel darah masukan sel sehat sel sabit pengambilan data nilai bervariasi disimpulkan terbaik penelitian nilai akurasi,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
implementasi backpropgation pengolahan citra teks tulisan tangan teks digital pengenalan pola sulit komputer komputer langsung mengenali pola citra proses alat pengolahan citra komputerpada penelitian tugas aplikasi berhubungan pengenalan pola pengolahan citra aplikasi mengenali pola tulisan tangan mengubahnya teks digital aplikasi metode backpropagation proses pengenalannya dimana input citra berekstensi bitmap diolah serangkaian proses tahap preprocessing dimana tahap greyscale thresholding segmentasi cropping normalisasi preprocessing barulah tahap pengenalan dilakukanadapun keakuratan hasil proses hasil uji coba data uji data referensi learning rate error rate epoch inisialisasi bobot input patern piksel input neuron hidden layer output neuron dimana disimpulkan aplikasi proses pengenalan pola tulisan tangan,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
klasifikasi kelainan jantung metode transformasi fourier jaringan saraf tiruan kesehatan gangguan sistem kardiovaskuler menduduki peringkat global salah mendeteksi kelainan sistem kardiovaskuler jantung pembacaan elektrokardiogram ekg pembacaan rekaman ekg dibutuhkan pengalaman keahlian khusus perancangan perangkat lunak berbasis jaringan saraf tiruan membantu identifikasi kelainan jantung citra digital elektrokardiogram citra diolah metode pengolahan citra diperoleh ordinat grafik citra merepresentasikan potensial listrik jantung ekstraksi fitur transformasi fourier dibagi koefisien fourier masukan perangkat lunak koefisien hasil transformasi fourier dinormalisasi keluaran perangkat lunak dibagi kelas jantung fibrilasi atrium jantung koroner jantung normal tingkat akurasi maksimal perangkat lunak pembagian koefisien hasil transformasi fourier node tingkat akurasi minimal perangkat lunak pembagian koefisien hasil transformasi fourier node hasil tingkat akurasi perangkat lunak memiliki ratarata standar deviasi,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
analisa metode radial basis function jaringan saraf tiruan penentuan morfologi sel darah merah eritrosit berbasis pengolahan citra tes hematologi tes darah pemeriksaan mendiagnosa kondisi medis pasien tes meliputi pemeriksaan bentuk morfologi sel darah manual pemeriksaan manual memiliki tingkat ketelitian keakuratan rendah dokter petugas laboratorium kesehatan manusiawi memiliki tingkat perbedaan identifikasi kekurangan pemeriksaan hematologi manual diatasi menciptakan sistem cerdas otomatis bantuan komputer jaringan syaraf tiruan penelitian analisa jaringan syaraf tiruan metode radial basis function menentukan morfologi sel darah merah eritrosit data citra eritrosit normal abnormal berasal lembaga penelitian abx montpeller perancis sampel citra eritrosit diolah proses akuisisi citra grayscale deteksi tepi ekstraksi ciri menghasilkan input jaringan syaraf tiruan radial basis function penentuan morfologi eritrosit berbasis pengolahan citra jaringan syaraf tiruan radial basis function memiliki akurasi memuaskan memiliki total pemerosesan sistem cepat,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
analisis perbandingan teknik segmentasi citra digital metode level set chan vese lankton perkembangan teknologi pesat bidang komputer mendorong berkembangnya penelitian penerapan teknik pengolahan citra pertumbuhan kemajuan teknologi membuka peluang pengembangan bidangini pengolahan citra peranan berbagaibidang kehidupan segmentasi proses pemisahan objek latar belakangnyasaat penelitian segmentasi metode segmentasi salah satunya levelset metode chan vese lankton penggunaan metode proses segmentasi terkadang sesuai hasil diharapkan analisis kinerja teknik segmentasi metode chan vese lankton penelitian metode chan vese lankton input citra citra berekstensi jpeg citra dimasukkan program proses chan vese proses lankton parameter iterasi pembanding perulangan citra hasil digunakanuntuk segmen histogram citra mengetahuiintensitas kontras citra timing run suatuproses citra snr signal to noise ratio kualitascitra pengujian uji coba citra selanjutnyadilakukan analisishasil penelitian hasil buah sampel citra kali iterasi iterasi segmen dihasilkan prosessegmentasi mengunakan metode lankton dibandingkan proses segmentasimenggunakan metode chan vese ratarata timing run proses chan vese detik proses lankton detik ratarata snr proses chan vese db proses lankton db,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
penentuan rumus pembusukan ikan menggunkan metode curve fittingdengan pendekatan pengolahan citra citra digital insang ikan pengolahan citra digital digital image processing teknikteknik pengolahan citra dimanfaatkan bidang penelitian digital image processing meneliti proses pembusukan ikan mujairoreochromis mossambicus citra diolah citra insang diambil seekor ikan mujair periode pengambilan masingmasing citra jam terhitung ikan mati ingga membusuk langkah menghitung nilai warna merah citra insang perbandingan perhitungan rgb penentuan rumus pembusukan metode curve fitting langkah menghitung nilai ratarata error menggunkakan metode linier kuadratik kubik diperoleh error terkecil hasil penelitian menunjukan perbedaan warna merah citra insang cenderung berkurang seiring bertambahnya semenjak ikan mati membusuk disimpulkan kandungan warna merah insang ikan banding terbalik bertambahnya pembusukan ikan,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
identifikasi anemia thalasemia betha mayor berdasarkan morfologi sel darah merah thalasemia betha mayor salah kelainan sel darah merah berdasarkan klasifikasi anemia thalasemia betha mayor memiliki ciri sel meliputi mikrositik eritrosit berinti eritroblast sel target small fragment thalasemia betha mayor dianalisa berdasarkan menghitung darah lengkap hapusan darah pemeriksaan hematologi proses menimbulkan mempengaruhi keakuratan membutuhkan mengatasi proses analisa teknik pengolahan citra didasarkan bentuk morfologi sel darah merah artikel bertujuan mengidentifikasi anemia thalasemia betha mayor berdasarkan morfologi citra sel darah merah metode pengolahan citra meliputi proses segmentasi citra normalisasi citra threshold warna threshold otsu operasi morfologi erosi bounding box normalisasi menyamakan persebaran warna masingmasing citra sel darah normalisasi mengubah citra rgb ycbcr threshold warna threshold otsu operasi morfologi erosi memisahkan sel inti sel ekstrasi ciri menghasilkan luas area sel luas area inti sel diameter sel rasio sel proses identifikasi menentukan jenis sel berdasarkan hasil ekstrasi ciri proses pengujian kelompok gambar thalasemia betha mayor masingmasing gambar hasil pengujian morfologi citra mengidentifikasi anemia thalasemia betha mayor,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
pengendalian mobile robot vision webcam objek arah panah berbasis raspberry pi penggunaan raspberry pi pengganti perangkat cpu teknologi robot vision solusi alternatif robot vision mobile penelitian mobile robot vision diintegrasikan perangkat webcam berguna input penangkap objek proses pengolahan citra metode pengolahan citra penelitian metode template matching dimana metode berdasarkan membandingkan citra masukan citra template tersimpan progam robot penggunaan metode penelitian bertujuan robot kendali gerak berdasarkan informasi gambar diperoleh kamera webcam gambar mewakili kondisi gerak robot maju berhenti belok kanan belok kiri penjelasan diatas didapatkan hasil pengujian progam pecocokan gambar nilai black pixel match berkisar pengujian robot lintasan ratarata detik kemampuan kamera pengaruh jarak intensitas cahaya berkisar cm cm lumensm lumensm,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
aplikasi pengolahan citra pengenalan pola huruf ngalagena matlab aplikasi pengenalan pola huruf ngalagena salah jenis pengembangan software membantu mengenal memahami aksara sunda asli penelitian merancang program mengenali pola huruf ngalagena citra digital menerapkan metode template matching template matching metode sederhana mengenali pola kelebihan metode mudah diimplementasikan kedalam aplikasi berbasis pengolahan citra digital penelitian metode kuantitatif penelitian sifatnya uji coba eksperimen pengenalan pola huruf ngalagena hasil perhitungan persentase pengujian aplikasi berdasarkan hasil pengujian jenis citra uji citra pola karakter digital berwarna hitam sesuai template memperoleh hasil persentase pengujian citra pola karakter digital berwarna hitam berbeda template memperoleh hasil persentase pengujian citra pola karakter tulisan tangan berwarna hitam memperoleh hasil persentase pengujian,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
aplikasi metode fractal lacunarity identifikasi kanker payudara penelitian mengkaji identifikasi citra hasil mammografi normal abnormal metode fractal lacunarity pengolahan citra memotong citra ukuran piksel dilanjutkan proses thresholding citra biner proses menghitung nilai fractal lacunarity gradien citra biner hasil pengolahan data menentukan citra mammogram normal memiliki nilai selisih fractal lacunarity gradien citra mammogram abnormal memiliki nilai selisih fractal lacunarity gradien hasil penelitian fractal lacunarity gradiennya membedakan citra mammogram normal citra mammogram abnormal identifikasi kanker payudara,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
